City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Le Port,RE,2022-02-04 02:00:44,-20.9373,55.2919,80.56,87,100,28.97,moderate rain
210,Vaini,TO,2022-02-04 01:47:28,-21.2,-175.2,86.16,79,75,11.5,broken clouds
211,Stranraer,GB,2022-02-04 02:00:45,54.9023,-5.0273,40.89,64,100,24.34,overcast clouds
212,Ajdabiya,LY,2022-02-04 02:00:45,30.7554,20.2263,54.14,56,67,18.88,broken clouds
213,Saurimo,AO,2022-02-04 02:00:46,-9.6608,20.3916,62.76,99,100,3.27,overcast clouds
214,Honningsvag,NO,2022-02-04 02:00:46,70.9821,25.9704,25.56,71,29,21.41,scattered clouds
215,Tamandare,BR,2022-02-04 02:00:46,-8.7597,-35.1047,78.82,76,83,8.25,broken clouds
216,Kropotkin,RU,2022-02-04 02:00:47,45.4375,40.5756,37.11,98,100,6.46,overcast clouds
217,Irituia,BR,2022-02-04 02:00:47,-1.7711,-47.4381,73.45,98,99,2.51,overcast clouds
218,Victoria,HK,2022-02-04 01:49:05,22.2855,114.1577,59.25,78,77,5.01,broken clouds
219,Arraial Do Cabo,BR,2022-02-04 01:49:08,-22.9661,-42.0278,75.43,91,100,9.73,overcast clouds
220,Nanortalik,GL,2022-02-04 02:00:48,60.1432,-45.2371,26.62,95,100,11.25,snow
221,Male,MV,2022-02-04 01:59:50,4.1748,73.5089,80.55,83,20,3.44,few clouds
222,Clyde River,CA,2022-02-04 02:00:49,70.4692,-68.5914,-5.58,96,100,17.85,light snow
223,Qaqortoq,GL,2022-02-04 02:00:50,60.7167,-46.0333,27.1,96,100,10.92,snow
224,Kaitangata,NZ,2022-02-04 01:47:42,-46.2817,169.8464,48.63,97,100,1.36,light rain
225,Miri,MY,2022-02-04 01:56:24,4.4148,114.0089,77.14,100,40,4.61,scattered clouds
226,Saint-Augustin,CA,2022-02-04 02:00:51,51.226,-58.6502,10.02,70,100,17.07,overcast clouds
