City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
400,Sabang,ID,82.29,overcast clouds,5.8933,95.3214,Hotel Citra
401,Angoche,MZ,74.68,overcast clouds,-16.2325,39.9086,Guest House HESADA
405,Bermejo,AR,70.11,scattered clouds,-32.8833,-68.8,Muras Apart Hotel
416,Oussouye,SN,70.63,clear sky,12.485,-16.5469,Auberge du Routard
421,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
424,Cozumel,MX,78.12,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
427,Santiago Del Estero,AR,79.29,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
436,Buenos Aires,AR,73.96,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
438,Kloulklubed,PW,82.38,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
440,Yenagoa,NG,76.87,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
441,Santa Maria,BR,74.5,broken clouds,-29.6842,-53.8069,Hotel Morotin
442,Cabo San Lucas,MX,67.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
445,Portobelo,PA,78.62,few clouds,9.55,-79.65,Scuba Portobelo
451,Conceicao Do Araguaia,BR,73.83,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
453,Tabuk,PH,76.12,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
455,Butterworth,MY,84.24,few clouds,5.3991,100.3638,Cititel Penang
457,Paragominas,BR,72.0,moderate rain,-2.9667,-47.4833,INOVA
458,Gorontalo,ID,82.49,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
466,Amarante,BR,78.26,broken clouds,-6.2411,-42.8547,Hotel Pousada Velho Monge
469,Bengkulu,ID,78.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
470,Yarada,IN,70.12,mist,17.65,83.2667,Yarada Jungle Beach Resorts
472,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
476,Antsohihy,MG,72.41,moderate rain,-14.8796,47.9875,Hotel de Ville
477,Anori,BR,73.36,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
478,Kattivakkam,IN,75.29,scattered clouds,13.2167,80.3167,Euronova Freezer
479,Wanning,CN,65.08,overcast clouds,18.8003,110.3967,Paradise Hotel
480,Balangiga,PH,75.9,overcast clouds,11.1097,125.3875,Country Inn Bed and Breakfast
481,Buchanan,LR,78.6,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
488,Kisangani,CD,69.33,overcast clouds,0.5167,25.2,Grand Ramela Hotel
492,Natal,BR,80.58,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
497,Acajutla,SV,77.09,clear sky,13.5928,-89.8275,Laureles
501,Umm Lajj,SA,68.34,clear sky,25.0213,37.2685,Moon light Furnished Units
505,Puerto Leguizamo,CO,73.26,overcast clouds,-0.1934,-74.7819,la casona de juancho
509,Viedma,AR,70.43,few clouds,-40.8135,-62.9967,Hotel Cristal
511,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
513,Mitsamiouli,KM,82.0,overcast clouds,-11.3847,43.2844,Foyer ADM
519,Mogadishu,SO,75.9,clear sky,2.0371,45.3438,Hotel Juba
521,Cockburn Town,TC,75.76,clear sky,21.4612,-71.1419,Osprey Beach Hotel
522,Hambantota,LK,70.14,few clouds,6.1241,81.1185,Bungalow 63
523,Hervey Bay,AU,80.02,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
526,Iquitos,PE,73.11,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
527,Tonj,SS,77.79,overcast clouds,7.2737,28.6822,Lakan Hotel
530,Xai-Xai,MZ,74.12,clear sky,-25.0519,33.6442,Complexo da Familia
531,Kulhudhuffushi,MV,80.53,scattered clouds,6.6221,73.07,Haajy Guest House 1
533,Tolaga Bay,NZ,77.76,clear sky,-38.3667,178.3,Tolaga Bay Motel
534,The Valley,AI,76.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
537,Saint-Leu,RE,79.63,light rain,-21.15,55.2833,La Caz Oceane
